Player,League,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
David Soria,Spain La Liga 2025-26,Getafe,Getafe,GK,33.0,5000000,2026-06-30,36,3604,0,0.0,0,0.0,0.27,72.73,Spain,Spain,right,192,85,no,1.6,0.0,0.0,0.17,85.71,0.0,0.0,0.0,1.6,2.02,0.0,1,0.02,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,33.33,0.0,0.0,0.0,8.44,0.17,0.07,14.41,76.78,11.91,73.58,0.0,0.0,2.45,91.84,3.82,97.39,10.59,69.34,45.08,51.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,56.08,0.12,0.0,0.2,0.0,0.0,0.0,7.74,85.81,37,0.92,153,3.82,11,75.82,43.94,1.1,6.94,0.173,0.0,0.85,0.17,,,,0.0,0,0.0
Antonio Sivera,Spain La Liga 2025-26,Deportivo Alavés,Deportivo Alavés,GK,29.0,6000000,2027-06-30,36,3592,0,0.0,0,0.0,0.63,72.0,Spain,Spain,right,185,79,no,1.75,0.15,50.0,0.38,86.67,0.0,0.0,0.0,1.68,2.19,0.03,3,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,33.33,0.0,0.0,0.0,10.3,0.15,0.05,15.68,79.07,11.65,73.33,0.0,0.0,3.68,95.92,5.64,96.44,10.05,69.33,40.05,49.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.36,67.16,0.25,0.0,0.1,25.0,0.05,0.0,8.29,81.87,54,1.35,150,3.76,4,64.0,48.9,1.23,-5.1,-0.128,0.0,1.38,0.38,,,,0.0,0,0.0
M. Dmitrović,Spain La Liga 2025-26,Espanyol,Espanyol,GK,34.0,900000,2028-06-30,36,3579,0,0.0,0,0.0,0.53,80.95,Serbia,Serbia,left,189,85,no,1.86,0.13,60.0,0.28,100.0,0.05,0.06,0.0,1.74,1.99,0.0,0,0.0,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.08,66.67,0.0,0.05,0.0,10.49,0.18,0.13,16.32,82.43,11.52,76.2,0.0,0.0,4.12,98.78,7.75,98.38,8.5,68.64,38.74,54.16,0.0,0.0,0.0,0.0,0.0,0.0,0.03,3.12,57.26,0.25,20.0,0.23,55.56,0.05,0.0,7.02,83.51,53,1.33,180,4.53,10,70.56,54.63,1.37,1.63,0.041,0.0,1.68,0.28,,,,0.0,0,0.0
A. Radu,Spain La Liga 2025-26,Celta de Vigo,Celta de Vigo,GK,28.0,3000000,2029-06-30,36,3563,0,0.0,0,0.0,0.38,66.67,Romania,Romania,right,188,80,no,1.29,0.05,100.0,0.18,100.0,0.0,0.0,0.0,1.24,1.46,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,50.0,0.0,0.0,0.03,10.41,0.28,0.13,15.81,86.58,6.49,70.43,0.0,0.0,7.98,98.1,11.37,98.67,4.45,55.68,28.08,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,32.43,0.1,50.0,0.18,0.0,0.05,0.0,3.11,64.23,47,1.19,155,3.92,9,69.68,45.23,1.14,-1.77,-0.045,0.0,1.19,0.18,,,,0.0,0,0.0
Unai Simón,Spain La Liga 2025-26,Athletic Club,Athletic Club,GK,28.0,0,2029-06-30,36,3555,0,0.0,0,0.0,0.63,92.0,Spain,Spain,right,190,89,no,2.25,0.1,75.0,0.38,100.0,0.0,0.0,0.0,2.18,2.8,0.0,1,0.03,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,100.0,0.0,0.03,0.0,14.61,0.2,0.2,22.3,80.14,14.86,72.4,0.05,50.0,6.86,96.31,11.95,96.19,10.35,61.61,33.65,49.32,0.0,0.0,0.03,0.0,0.0,0.0,0.0,4.3,58.24,0.3,16.67,0.25,30.0,0.03,0.0,7.44,77.21,53,1.34,146,3.7,6,63.7,46.74,1.18,-6.26,-0.158,0.0,1.16,0.38,,,,0.0,0,0.0
Álex Remiro,Spain La Liga 2025-26,Real Sociedad,Real Sociedad,GK,31.0,25000000,2027-06-30,35,3491,0,0.0,0,0.0,0.64,92.0,Spain,Spain,right,191,79,no,1.44,0.13,80.0,0.31,91.67,0.0,0.0,0.0,1.34,1.82,0.0,1,0.03,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.13,100.0,0.0,0.0,0.0,19.21,0.36,0.13,27.1,84.97,15.7,75.7,0.03,0.0,10.42,98.02,17.04,98.18,10.03,62.72,31.69,48.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,55.45,0.23,0.0,0.13,0.0,0.0,0.0,7.66,71.72,55,1.42,151,3.89,3,63.58,51.71,1.33,-3.29,-0.085,0.0,1.39,0.31,,,,0.0,0,0.0
L. Cabrera,Spain La Liga 2025-26,Espanyol,Espanyol,LCB,34.0,1200000,2027-06-30,35,3486,3,3.49,0,0.41,11.64,56.1,Uruguay,"Uruguay, Spain",left,190,82,no,7.25,4.1,63.52,4.78,58.92,0.18,0.21,0.52,4.47,5.15,0.88,3,0.08,0,0.0,0.57,0.08,3,0.08,0.09,3,0.08,30,0.77,36.67,10.0,0.0,0.49,47.37,0.41,37.5,0.05,100.0,0.0,0.15,33.33,0.7,29.63,1.21,0.18,0.0,22.82,0.08,0.21,36.2,83.24,17.76,73.4,2.25,95.4,12.57,93.02,29.12,90.25,6.61,54.69,22.05,40.51,0.01,0.08,0.08,0.0,0.03,0.0,0.03,5.58,58.33,0.9,42.86,0.39,40.0,0.34,0.21,8.13,74.29,0,,0,,0,0.0,0.0,0.0,,,1.68,,,0.0,0.0,0.0,0.0,0,0.0
M. Valjent,Spain La Liga 2025-26,Mallorca,Mallorca,"RCB, LCB",30.0,6000000,2029-06-30,35,3483,0,1.58,0,0.18,10.47,61.23,Slovakia,Slovakia,right,187,83,no,7.98,4.83,66.84,2.74,53.77,0.1,0.13,0.47,4.65,5.85,0.85,6,0.16,0,0.0,0.31,0.0,0,0.0,0.04,0,0.0,15,0.39,46.67,0.0,0.0,0.08,33.33,0.0,0.0,0.08,33.33,0.0,0.16,66.67,0.85,36.36,0.36,1.09,0.1,29.77,0.21,0.26,42.69,88.62,16.77,76.89,3.28,95.28,18.14,97.44,37.31,93.63,5.3,54.15,20.89,39.78,0.0,0.08,0.03,0.03,0.03,0.0,0.0,4.55,66.48,0.39,33.33,0.36,28.57,0.1,0.03,6.59,70.2,0,,0,,0,0.0,0.0,0.0,,,2.07,,,0.0,0.0,0.0,0.0,0,0.0
F. Lejeune,Spain La Liga 2025-26,Rayo Vallecano,Rayo Vallecano,RCB,34.0,3000000,2028-06-30,35,3471,2,2.48,1,0.14,13.41,61.32,France,France,right,190,81,no,9.26,6.25,67.22,3.73,60.42,0.36,0.54,0.73,4.69,6.94,1.19,6,0.16,0,0.0,0.6,0.05,2,0.05,0.06,1,0.03,38,0.99,36.84,5.263,0.03,0.18,14.29,0.0,0.0,0.18,14.29,0.03,0.41,50.0,1.24,43.75,0.6,0.7,0.08,37.05,0.29,0.36,52.04,89.04,21.11,78.26,3.03,100.0,24.04,96.76,44.62,94.77,7.23,55.56,23.02,45.87,0.0,0.18,0.0,0.0,0.0,0.0,0.05,6.59,66.54,0.57,36.36,0.34,38.46,0.21,0.03,8.82,75.59,0,,0,,0,0.0,0.0,0.0,,,2.52,,,0.41,0.36,57.14,0.0,0,0.0
Aarón Escandell,Spain La Liga 2025-26,Real Oviedo,Real Oviedo,GK,30.0,1000000,2027-06-30,35,3462,0,0.0,1,0.0,0.47,72.22,Spain,Spain,right,185,72,no,1.2,0.0,0.0,0.21,75.0,0.0,0.0,0.0,1.2,1.46,0.03,3,0.08,0,0.0,0.03,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,50.0,0.21,75.0,0.0,0.0,0.0,16.64,0.44,0.18,23.92,82.28,14.69,73.27,0.0,0.0,8.45,97.23,12.22,97.66,11.67,66.37,34.43,47.26,0.0,0.0,0.0,0.03,0.0,0.0,0.03,2.52,45.36,0.08,0.0,0.21,37.5,0.03,0.0,8.63,76.2,54,1.4,195,5.07,10,72.31,60.88,1.58,6.88,0.179,0.0,1.12,0.21,,,,0.0,0,0.0
